  Schema   | Name |        Left arg type        |       Right arg type        |         Result type         |         Function          |                           Description
 pg_catalog | <    | integer                     | smallint                    | boolean                     | int42lt                   | less than
 pg_catalog | <    | interval                    | interval                    | boolean                     | interval_lt               | less than
 pg_catalog | <    | jsonb                       | jsonb                       | boolean                     | jsonb_lt                  | less than
 pg_catalog | <    | lseg                        | lseg                        | boolean                     | lseg_lt                   | less than by length
 pg_catalog | <    | macaddr                     | macaddr                     | boolean                     | macaddr_lt                | less than
 pg_catalog | <    | macaddr8                    | macaddr8                    | boolean                     | macaddr8_lt               | less than
 pg_catalog | <    | money                       | money                       | boolean                     | cash_lt                   | less than
 pg_catalog | <    | name                        | name                        | boolean                     | namelt                    | less than
 pg_catalog | <    | numeric                     | numeric                     | boolean                     | numeric_lt                | less than
 pg_catalog | <    | oid                         | oid                         | boolean                     | oidlt                     | less than
 pg_catalog | <    | oidvector                   | oidvector                   | boolean                     | oidvectorlt               | less than
 pg_catalog | <    | path                        | path                        | boolean                     | path_n_lt                 | less than
 pg_catalog | <    | pg_lsn                      | pg_lsn                      | boolean                     | pg_lsn_lt                 | less than
 pg_catalog | <    | real                        | double precision            | boolean                     | float48lt                 | less than
 pg_catalog | <    | real                        | real                        | boolean                     | float4lt                  | less than
 pg_catalog | <    | record                      | record                      | boolean                     | record_lt                 | less than
 pg_catalog | <    | reltime                     | reltime                     | boolean                     | reltimelt                 | less than
 pg_catalog | <    | smallint                    | bigint                      | boolean                     | int28lt                   | less than
 pg_catalog | <    | smallint                    | integer                     | boolean                     | int24lt                   | less than
 pg_catalog | <    | smallint                    | smallint                    | boolean                     | int2lt                    | less than
 pg_catalog | <    | text                        | text                        | boolean                     | text_lt                   | less than
 pg_catalog | <    | tid                         | tid                         | boolean                     | tidlt                     | less than
 pg_catalog | <    | timestamp without time zone | date                        | boolean                     | timestamp_lt_date         | less than
 pg_catalog | <    | timestamp without time zone | timestamp without time zone | boolean                     | timestamp_lt              | less than
 pg_catalog | <    | timestamp without time zone | timestamp with time zone    | boolean                     | timestamp_lt_timestamptz  | less than
pg_catalog | <    | timestamp with time zone    | date                        | boolean                     | timestamptz_lt_date       | less than
 pg_catalog | <    | timestamp with time zone    | timestamp without time zone | boolean                     | timestamptz_lt_timestamp  | less than
 pg_catalog | <    | timestamp with time zone    | timestamp with time zone    | boolean                     | timestamptz_lt            | less than
 pg_catalog | <    | time without time zone      | time without time zone      | boolean                     | time_lt                   | less than
 pg_catalog | <    | time with time zone         | time with time zone         | boolean                     | timetz_lt                 | less than
 pg_catalog | <    | tinterval                   | tinterval                   | boolean                     | tintervallt               | less than
 pg_catalog | <    | tsquery                     | tsquery                     | boolean                     | tsquery_lt                | less than
 pg_catalog | <    | tsvector                    | tsvector                    | boolean                     | tsvector_lt               | less than
 pg_catalog | <    | uuid                        | uuid                        | boolean                     | uuid_lt                   | less than
 pg_catalog | <#>  | abstime                     | abstime                     | tinterval                   | mktinterval               | convert to tinterval
 pg_catalog | <->  | box                         | box                         | double precision            | box_distance              | distance between
 pg_catalog | <->  | circle                      | circle                      | double precision            | circle_distance           | distance between
 pg_catalog | <->  | circle                      | point                       | double precision            | dist_cpoint               | distance between
 pg_catalog | <->  | circle                      | polygon                     | double precision            | dist_cpoly                | distance between
 pg_catalog | <->  | line                        | box                         | double precision            | dist_lb                   | distance between
 pg_catalog | <->  | line                        | line                        | double precision            | line_distance             | distance between
 pg_catalog | <->  | lseg                        | box                         | double precision            | dist_sb                   | distance between
 pg_catalog | <->  | lseg                        | line                        | double precision            | dist_sl                   | distance between
 pg_catalog | <->  | lseg                        | lseg                        | double precision            | lseg_distance             | distance between
 pg_catalog | <->  | path                        | path                        | double precision            | path_distance             | distance between
 pg_catalog | <->  | point                       | box                         | double precision            | dist_pb                   | distance between
 pg_catalog | <->  | point                       | circle                      | double precision            | dist_pc                   | distance between
 pg_catalog | <->  | point                       | line                        | double precision            | dist_pl                   | distance between
 pg_catalog | <->  | point                       | lseg                        | double precision            | dist_ps                   | distance between
 pg_catalog | <->  | point                       | path                        | double precision            | dist_ppath                | distance between
 pg_catalog | <->  | point                       | point                       | double precision            | point_distance            | distance between
 pg_catalog | <->  | point                       | polygon                     | double precision            | dist_ppoly                | distance between
 pg_catalog | <->  | polygon                     | point                       | double precision            | dist_polyp                | distance between
 pg_catalog | <->  | polygon                     | polygon                     | double precision            | poly_distance             | distance between
 pg_catalog | <->  | tsquery                     | tsquery                     | tsquery                     | pg_catalog.tsquery_phrase | phrase-concatenate
 pg_catalog | <<   | anyrange                    | anyrange                    | boolean                     | range_before              | is left of
 pg_catalog | <<   | bigint                      | integer                     | bigint                      | int8shl                   | bitwise shift left
 pg_catalog | <<   | bit                         | integer                     | bit                         | bitshiftleft              | bitwise shift left
 pg_catalog | <<   | box                         | box                         | boolean                     | box_left                  | is left of
 pg_catalog | <<   | circle                      | circle                      | boolean                     | circle_left               | is left of
 pg_catalog | <<   | inet                        | inet                        | boolean                     | network_sub               | is subnet
 pg_catalog | <<   | integer                     | integer                     | integer                     | int4shl                   | bitwise shift left
 pg_catalog | <<   | point                       | point                       | boolean                     | point_left                | is left of
 pg_catalog | <<   | polygon                     | polygon                     | boolean                     | poly_left                 | is left of
 pg_catalog | <<   | smallint                    | integer                     | smallint                    | int2shl                   | bitwise shift left
 pg_catalog | <<   | tinterval                   | tinterval                   | boolean                     | tintervalct               | contains
 pg_catalog | <<=  | inet                        | inet                        | boolean                     | network_subeq             | is subnet or equal
 pg_catalog | <<|  | box                         | box                         | boolean                     | box_below                 | is below
 pg_catalog | <<|  | circle                      | circle                      | boolean                     | circle_below              | is below
 pg_catalog | <<|  | polygon                     | polygon                     | boolean                     | poly_below                | is below
 pg_catalog | <=   | abstime                     | abstime                     | boolean                     | abstimele                 | less than or equal
 pg_catalog | <=   | anyarray                    | anyarray                    | boolean                     | array_le                  | less than or equal
 pg_catalog | <=   | anyenum                     | anyenum                     | boolean                     | enum_le                   | less than or equal
 pg_catalog | <=   | anyrange                    | anyrange                    | boolean                     | range_le                  | less than or equal
 pg_catalog | <=   | bigint                      | bigint                      | boolean                     | int8le                    | less than or equal
